Date,Open,High,Low,Close,Volume
2014-12-31,15.939638274880735,15.975264994722757,15.775751830019605,15.797128677368164,1863400
2015-01-02,15.83988372083659,15.868386188840528,15.718750949964814,15.74725341796875,2210300
2015-01-05,15.761503611411081,15.782879101930366,15.569116042303184,15.597617149353027,2444900
2015-01-06,15.654622961166165,15.718752160039395,15.490737834744612,15.533490180969238,2265900
2015-01-07,15.547738407467973,15.683122396566185,15.519237301857588,15.675996780395508,1655400
2015-01-08,15.768630407503338,15.918265660590457,15.754380531220486,15.882638931274414,879900
2015-01-09,16.117776471811844,16.139151962580865,16.01089358167713,16.032270431518555,1932700
2015-01-12,15.946767500058096,15.946767500058096,15.81138483522002,15.84701156616211,1508300
2015-01-13,15.875514038173916,15.961018736064,15.718753160254316,15.84701156616211,1870100
2015-01-14,15.604742049651318,15.668871236410524,15.504986140946919,15.633244514465332,2055800
2015-01-15,15.82563176984149,15.8541342365541,15.668872280139384,15.725875854492188,3659900
2015-01-16,15.597619819498789,15.911140205152732,15.597619819498789,15.904014587402344,1953200
2015-01-20,15.725876406186455,15.754378873898986,15.583368144841188,15.697375297546387,1283700
2015-01-21,15.896885467344445,15.989517118618805,15.77575271042035,15.839881896972656,2670400
2015-01-22,15.861256595991227,15.93963700428242,15.80425303334458,15.832754135131836,2110700
2015-01-23,15.718749118347246,15.76862707246966,15.647494315712803,15.675996780395508,1943600
2015-01-26,15.71162390624826,15.76862747800737,15.647494718135217,15.733000755310059,1135200
2015-01-27,15.782878709592417,15.825631048640618,15.725875137837363,15.761503219604492,1300900
2015-01-28,15.96814024803164,15.975265864202315,15.647494315712803,15.675996780395508,2074500
2015-01-29,15.65461867245209,15.725873469354005,15.533485925440495,15.71162223815918,1584800
2015-01-30,15.583367036121828,15.747252136591461,15.576241419700667,15.618993759155273,1610900
2015-02-02,15.86838523849604,15.96101553581633,15.825631539050619,15.939640045166016,1886300
2015-02-03,15.996644110926786,16.40279475464935,15.98239287733978,16.281661987304688,2460900
2015-02-04,16.25316103603655,16.324415851544952,16.167656344684513,16.196157455444336,3222600
2015-02-05,16.3244133172615,16.495424032489577,16.3244133172615,16.488298416137695,1437000
2015-02-06,16.381418228149414,16.45979865535518,16.331540268681188,16.381418228149414,2338600
2015-02-09,16.402796276749836,16.49542658551614,16.3457926961846,16.360042572021484,2138900
2015-02-10,16.345789194252536,16.395667146677166,16.267408778115392,16.352914810180664,1193600
2015-02-11,16.153403357273135,16.153403357273135,16.018019358402334,16.11065101623535,1672900
2015-02-12,16.060773380907957,16.267410832632187,16.053647764079887,16.210407257080078,1859300
