"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATASTEEL","EQ","02-Jan-2017","        391.25","        393.45","        408.35","        388.90","        406.20","        406.75","        400.54","    5578129","          2234285879.55","      60588"
"TATASTEEL","EQ","03-Jan-2017","        406.75","        407.05","        408.90","        401.25","        402.35","        403.30","        404.44","    3338806","          1350333812.30","      33408"
"TATASTEEL","EQ","04-Jan-2017","        403.30","        404.10","        409.00","        401.40","        405.20","        405.45","        405.42","    3344043","          1355742992.10","      39997"
"TATASTEEL","EQ","05-Jan-2017","        405.45","        409.10","        422.50","        407.30","        419.05","        419.30","        416.74","    7196279","          2998972632.25","      79299"
"TATASTEEL","EQ","06-Jan-2017","        419.30","        420.50","        425.40","        415.60","        420.00","        419.55","        420.60","    4138078","          1740484151.10","      53562"
"TATASTEEL","EQ","09-Jan-2017","        419.55","        423.70","        424.20","        419.35","        421.15","        422.00","        422.21","    3122769","          1318462615.45","      40260"
"TATASTEEL","EQ","10-Jan-2017","        422.00","        422.70","        432.50","        422.60","        431.90","        431.90","        429.15","    5118565","          2196642517.30","      68912"
"TATASTEEL","EQ","11-Jan-2017","        431.90","        435.30","        450.95","        434.65","        448.25","        448.25","        446.56","   11431250","          5104766908.25","     118080"
"TATASTEEL","EQ","12-Jan-2017","        448.25","        449.00","        451.15","        443.25","        447.65","        447.55","        447.50","    5361474","          2399249489.75","      72753"
"TATASTEEL","EQ","13-Jan-2017","        447.55","        450.00","        450.40","        441.20","        446.30","        446.35","        445.84","    4232151","          1886867481.10","      47694"
"TATASTEEL","EQ","16-Jan-2017","        446.35","        444.25","        459.50","        443.25","        459.50","        458.45","        455.88","    6675950","          3043405575.10","      80835"
"TATASTEEL","EQ","17-Jan-2017","        458.45","        459.05","        459.60","        450.90","        454.70","        454.25","        454.44","    3342717","          1519072548.05","      41386"
"TATASTEEL","EQ","18-Jan-2017","        454.25","        454.75","        470.00","        454.25","        468.95","        468.35","        466.30","    9116932","          4251250439.00","     123399"
"TATASTEEL","EQ","19-Jan-2017","        468.35","        468.70","        468.80","        462.35","        466.85","        467.15","        465.87","    3445069","          1604940560.20","      44134"
"TATASTEEL","EQ","20-Jan-2017","        467.15","        466.00","        467.80","        452.60","        455.50","        454.50","        459.96","    4927321","          2266346399.05","      60610"
"TATASTEEL","EQ","23-Jan-2017","        454.50","        450.90","        464.00","        450.60","        462.00","        461.80","        460.61","    4349975","          2003646984.60","      50319"
"TATASTEEL","EQ","24-Jan-2017","        461.80","        462.00","        466.50","        458.55","        464.15","        464.25","        462.74","    3731789","          1726851807.45","      45726"
